protein,type,gene
1_25_dihydroxyvitamin_d_3_24_hydroxylase_mitochondrial,enzymes,CYP24A1
15_hydroxyprostaglandin_dehydrogenase_nad_,enzymes,HPGD
1_acyl_sn_glycerol_3_phosphate_acyltransferase_beta,enzymes,AGPAT2
2_acylglycerol_o_acyltransferase_2,enzymes,DGAT2L7P
3_beta_hydroxysteroid_delta_8_delta_7_isomerase,enzymes,HSD3B1
4_hydroxyphenylpyruvate_dioxygenase,enzymes,HPD
72_kda_type_iv_collagenase,enzymes,COL4A1
acetylcholinesterase,enzymes,ACHE
acetyl_coa_carboxylase_1,enzymes,ACACA
acetyl_coa_carboxylase_2,enzymes,ACACA
acid_ceramidase,enzymes,ASAH1
acyl_coa_desaturase,enzymes,SCD
adenosine_deaminase,enzymes,ADA
adenosylhomocysteinase,enzymes,AHCY
adenylate_cyclase_type_1,enzymes,ADCYAP1
a_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_4,enzymes,ADAMTS1
a_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_5,enzymes,ADAMTS1
alcohol_dehydrogenase_class_3,enzymes,ADH1C
aldehyde_dehydrogenase_mitochondrial,enzymes,ALDH2
aldo_keto_reductase_family_1_member_b10,enzymes,AKR1B10
aldo_keto_reductase_family_1_member_c1,enzymes,AKR1B10
aldo_keto_reductase_family_1_member_c2,enzymes,AKR1B10
aldo_keto_reductase_family_1_member_c3,enzymes,AKR1B10
aldose_reductase,enzymes,AKR1B1
alkaline_phosphatase_tissue_nonspecific_isozyme,enzymes,ALPPL2
alpha_1_6_mannosyl_glycoprotein_2_beta_n_acetylglucosaminyltransferase,enzymes,MGAT5
amine_oxidase_flavin_containing_a,enzymes,FMO3
amine_oxidase_flavin_containing_b,enzymes,FMO3
aminopeptidase_n,enzymes,ANPEP
amp_deaminase_3,enzymes,AMPD1
angiotensin_converting_enzyme,enzymes,ACE2
arachidonate_15_lipoxygenase,enzymes,ALOX15
arginase_1,enzymes,ARG2
arginase_2_mitochondrial,enzymes,ARG2
aromatase,enzymes,CYP19A1
beta_secretase_1,enzymes,PSENEN
beta_secretase_2,enzymes,PSENEN
bifunctional_epoxide_hydrolase_2,enzymes,EPHX1
branched_chain_amino_acid_aminotransferase_mitochondrial,enzymes,BCAT2
calcium_calmodulin_dependent_3_5_cyclic_nucleotide_phosphodiesterase_1c,enzymes,PDE1B
camp_and_camp_inhibited_cgmp_3_5_cyclic_phosphodiesterase_10a,enzymes,RAPGEF3
carbonic_anhydrase_12,enzymes,CA6
carbonic_anhydrase_13,enzymes,CA6
carbonic_anhydrase_14,enzymes,CA6
carbonic_anhydrase_2,enzymes,CA6
carbonic_anhydrase_5a_mitochondrial,enzymes,CA5A
carbonic_anhydrase_5b_mitochondrial,enzymes,CA6
carbonic_anhydrase_6,enzymes,CA6
carbonic_anhydrase_7,enzymes,CA6
carbonic_anhydrase_9,enzymes,CA9
carboxypeptidase_b,enzymes,CPN1
carboxypeptidase_b2,enzymes,CPM
carnitine_o_palmitoyltransferase_1_liver_isoform,enzymes,CPT2
carnitine_o_palmitoyltransferase_1_muscle_isoform,enzymes,CPT2
carnitine_o_palmitoyltransferase_2_mitochondrial,enzymes,CPT2
caspase_1,enzymes,CASP8
caspase_2,enzymes,CASP2
caspase_3,enzymes,CASP3
caspase_6,enzymes,CASP8
caspase_7,enzymes,CASP3
caspase_8,enzymes,CASP8
catechol_o_methyltransferase,enzymes,COMT
cathepsin_b,enzymes,CTSB
cathepsin_e,enzymes,CTSE
cathepsin_f,enzymes,CTSG
cathepsin_g,enzymes,CTSG
cathepsin_k,enzymes,CTSG
cathepsin_l2,enzymes,CTSL
ceramide_glucosyltransferase,enzymes,UGCG
cgmp_dependent_3_5_cyclic_phosphodiesterase,enzymes,PRKG1
cholinesterase,enzymes,BCHE
chymase,enzymes,CMA1
chymotrypsin_c,enzymes,CTRC
chymotrypsinogen_b,enzymes,CTRB1
coagulation_factor_ix,enzymes,F9
coagulation_factor_vii,enzymes,F7
coagulation_factor_xi,enzymes,F11
cocaine_esterase,enzymes,CES1
collagenase_3,enzymes,SFN
complement_factor_d,enzymes,CFH
corticosteroid_11_beta_dehydrogenase_isozyme_2,enzymes,HSD11B2
cytochrome_p450_11b1_mitochondrial,enzymes,FDX1
cytochrome_p450_11b2_mitochondrial,enzymes,POR
cytochrome_p450_26a1,enzymes,POR
cytochrome_p450_2d6,enzymes,CYP2D6
cytochrome_p450_3a4,enzymes,POR
cytosol_aminopeptidase,enzymes,LNPEP
cytosolic_phospholipase_a2,enzymes,PLA2G4A
cytosolic_phospholipase_a2_beta,enzymes,PLA2G2A
d_amino_acid_oxidase,enzymes,DAO
dctp_pyrophosphatase_1,enzymes,DCTPP1
diacylglycerol_o_acyltransferase_1,enzymes,DGAT2L7P
dihydrofolate_reductase,enzymes,DHFR
dipeptidase_1,enzymes,DPEP1
dipeptidyl_peptidase_1,enzymes,DPP9
dipeptidyl_peptidase_2,enzymes,DPP9
dipeptidyl_peptidase_4,enzymes,DPP4
dipeptidyl_peptidase_8,enzymes,DPP9
dipeptidyl_peptidase_9,enzymes,DPP9
disintegrin_and_metalloproteinase_domain_containing_protein_10,enzymes,ADAM15
disintegrin_and_metalloproteinase_domain_containing_protein_17,enzymes,ADAM15
disintegrin_and_metalloproteinase_domain_containing_protein_9,enzymes,MMP9
dna_repair_protein_complementing_xp_g_cells,enzymes,ERCC2
dna_topoisomerase_2_alpha,enzymes,TOP1
dual_3_5_cyclic_amp_and_gmp_phosphodiesterase_11a,enzymes,PDE11A
dual_specificity_protein_phosphatase_3,enzymes,DUSP1
e3_ubiquitin_protein_ligase_mdm2,enzymes,MDM2
e3_ubiquitin_protein_ligase_xiap,enzymes,XIAP
ectonucleotide_pyrophosphatase_phosphodiesterase_family_member_1,enzymes,ENPP1
ectonucleotide_pyrophosphatase_phosphodiesterase_family_member_2,enzymes,ENPP1
endothelin_converting_enzyme_1,enzymes,ECE1
enteropeptidase,enzymes,TMPRSS15
epoxide_hydrolase_1,enzymes,EPHX1
estradiol_17_beta_dehydrogenase_1,enzymes,HSD17B1
estradiol_17_beta_dehydrogenase_2,enzymes,HSD17B1
fad_linked_sulfhydryl_oxidase_alr,enzymes,GFER
farnesyl_pyrophosphate_synthase,enzymes,FDPS
fatty_acid_amide_hydrolase_1,enzymes,FAAH
fatty_acid_desaturase_1,enzymes,FADS1
fatty_acid_synthase,enzymes,FASN
flap_endonuclease_1,enzymes,FEN1
fructose_1_6_bisphosphatase_1,enzymes,FBP1
furin,enzymes,FURIN
g2_mitotic_specific_cyclin_b3,enzymes,CCNB1
gastrin_cholecystokinin_type_b_receptor,enzymes,CCKBR
geranylgeranyl_transferase_type_1_subunit_beta,enzymes,RABGGTB
glucokinase_regulatory_protein,enzymes,GCK
glutamate_carboxypeptidase_2,enzymes,FOLH1
glutaminyl_peptide_cyclotransferase,enzymes,QPCT
glutamyl_aminopeptidase,enzymes,ENPEP
glutathione_s_transferase_p,enzymes,GSTT1
glycogen_phosphorylase_liver_form,enzymes,EPM2A
glycogen_phosphorylase_muscle_form,enzymes,EPM2A
glycogen_starch_synthase_muscle,enzymes,GYS1
glycylpeptide_n_tetradecanoyltransferase_1,enzymes,NMT1
group_10_secretory_phospholipase_a2,enzymes,PLA2G2A
hematopoietic_prostaglandin_d_synthase,enzymes,PTGDS
heparanase,enzymes,HPSE
hepatic_triacylglycerol_lipase,enzymes,LIPC
high_affinity_camp_specific_3_5_cyclic_phosphodiesterase_7a,enzymes,PDE4D
high_affinity_camp_specific_and_ibmx_insensitive_3_5_cyclic_phosphodiesterase_8b,enzymes,PDE8B
high_affinity_cgmp_specific_3_5_cyclic_phosphodiesterase_9a,enzymes,PDE9A
hormone_sensitive_lipase,enzymes,LIPE
hypoxanthine_guanine_phosphoribosyltransferase,enzymes,HPRT1
indoleamine_2_3_dioxygenase_1,enzymes,IDO1
inosine_5_monophosphate_dehydrogenase_1,enzymes,IMPDH2
inosine_5_monophosphate_dehydrogenase_2,enzymes,IMPDH2
interstitial_collagenase,enzymes,MMP1
isocitrate_dehydrogenase_nadp_cytoplasmic,enzymes,IDH1
kallikrein_1,enzymes,KLKP1
kynurenine_3_monooxygenase,enzymes,KMO
lactoylglutathione_lyase,enzymes,GLO1
lanosterol_synthase,enzymes,LSS
legumain,enzymes,LGMN
leucyl_cystinyl_aminopeptidase,enzymes,LNPEP
leukotriene_a_4_hydrolase,enzymes,LTC4S
liver_carboxylesterase_1,enzymes,CES1
l_lactate_dehydrogenase_a_chain,enzymes,LDHA
lysine_trna_ligase,enzymes,EPRS
lysosomal_protective_protein,enzymes,CTSA
lysosomal_pro_x_carboxypeptidase,enzymes,CPE
macrophage_metalloelastase,enzymes,MMP12
malonyl_coa_decarboxylase_mitochondrial,enzymes,MLYCD
maltase_glucoamylase_intestinal,enzymes,MGAM
matrilysin,enzymes,MMP26
matrix_metalloproteinase_14,enzymes,MMP14
matrix_metalloproteinase_16,enzymes,MMP9
matrix_metalloproteinase_9,enzymes,MMP9
membrane_metallo_endopeptidase_like_1,enzymes,MME
methionine_aminopeptidase_1,enzymes,METAP2
methionine_aminopeptidase_2,enzymes,METAP2
methionine_trna_ligase_cytoplasmic,enzymes,KARS
methylated_dna_protein_cysteine_methyltransferase,enzymes,MGMT
monoglyceride_lipase,enzymes,MGLL
m_phase_inducer_phosphatase_2,enzymes,CDC25C
myeloperoxidase,enzymes,MPO
n_acylethanolamine_hydrolyzing_acid_amidase,enzymes,NAAA
nad_p_h_dehydrogenase_quinone_1,enzymes,NQO1
nadph_oxidase_4,enzymes,NOX1
neprilysin,enzymes,MME
neutrophil_collagenase,enzymes,MMP8
neutrophil_elastase,enzymes,ELANE
nicotinamide_phosphoribosyltransferase,enzymes,NAMPT
nitric_oxide_synthase_endothelial,enzymes,NOS3
nitric_oxide_synthase_inducible,enzymes,NOS2
non_lysosomal_glucosylceramidase,enzymes,GBA2
palmitoleoyl_protein_carboxylesterase_notum,enzymes,NOTUM
peptide_deformylase_mitochondrial,enzymes,PDF
peptidyl_prolyl_cis_trans_isomerase_a,enzymes,PIN1
peptidyl_prolyl_cis_trans_isomerase_fkbp1a,enzymes,PIN1
peptidyl_prolyl_cis_trans_isomerase_nima_interacting_1,enzymes,PIN1
phenylethanolamine_n_methyltransferase,enzymes,PNMT
phosphoethanolamine_phosphocholine_phosphatase,enzymes,PHOSPHO1
phospholipase_a2,enzymes,PLA2G2A
phospholipase_a2_membrane_associated,enzymes,PLA2G2A
phospholipase_d1,enzymes,PLD1
plasma_kallikrein,enzymes,KLK1
platelet_activating_factor_acetylhydrolase,enzymes,PLA2G7
poly_adp_ribose_polymerase_1,enzymes,PARP1
poly_adp_ribose_polymerase_2,enzymes,PARP1
prolyl_endopeptidase,enzymes,PREP
prolyl_endopeptidase_fap,enzymes,FAP
prostaglandin_e_synthase,enzymes,PTGES
prostaglandin_e_synthase_2,enzymes,PTGES
prostaglandin_g_h_synthase_1,enzymes,PTGDS
prostaglandin_g_h_synthase_2,enzymes,PTGDS
prostate_specific_antigen,enzymes,KLK3
proteasome_subunit_beta_type_1,enzymes,PSMA3
proteasome_subunit_beta_type_2,enzymes,PSMA3
proteasome_subunit_beta_type_5,enzymes,PSMB5
proteasome_subunit_beta_type_8,enzymes,PSMA3
protein_glutamine_gamma_glutamyltransferase_2,enzymes,GGT1
protein_o_glcnacase,enzymes,MGEA5
protein_serine_o_palmitoleoyltransferase_porcupine,enzymes,PORCN
protein_s_isoprenylcysteine_o_methyltransferase,enzymes,ICMT
prothrombin,enzymes,F2
protoporphyrinogen_oxidase,enzymes,PPOX
receptor_type_tyrosine_protein_phosphatase_beta,enzymes,PTPRZ1
receptor_type_tyrosine_protein_phosphatase_c,enzymes,PTPN6
renin,enzymes,REN
retinal_rod_rhodopsin_sensitive_cgmp_3_5_cyclic_phosphodiesterase_subunit_delta,enzymes,PDE6B
ribosyldihydronicotinamide_dehydrogenase_quinone_,enzymes,NQO2
rod_cgmp_specific_3_5_cyclic_phosphodiesterase_subunit_alpha,enzymes,PDE6B
serine_protease_hepsin,enzymes,HPN
sn1_specific_diacylglycerol_lipase_alpha,enzymes,LIPC
sorbitol_dehydrogenase,enzymes,SORD
squalene_synthase,enzymes,FDFT1
steroid_17_alpha_hydroxylase_17_20_lyase,enzymes,CYP17A1
sterol_o_acyltransferase_1,enzymes,SOAT1
sterol_o_acyltransferase_2,enzymes,SOAT1
steryl_sulfatase,enzymes,STS
sucrase_isomaltase_intestinal,enzymes,SI
tankyrase_1,enzymes,TNKS
tankyrase_2,enzymes,TNKS
telomerase_reverse_transcriptase,enzymes,TERT
testosterone_17_beta_dehydrogenase_3,enzymes,HSD17B3
thymidine_phosphorylase,enzymes,TYMP
thymidylate_synthase,enzymes,TYMS
tissue_alpha_l_fucosidase,enzymes,FUCA1
tissue_type_plasminogen_activator,enzymes,SERPINE1
transitional_endoplasmic_reticulum_atpase,enzymes,
transketolase,enzymes,TKTL1
transmembrane_prolyl_4_hydroxylase,enzymes,EGLN1
transmembrane_protease_serine_11d,enzymes,TMPRSS11D
trypsin_1,enzymes,PRSS2
tryptase_alpha_beta_1,enzymes,TPSAB1
tryptophan_5_hydroxylase_1,enzymes,TPH1
tyrosine_protein_phosphatase_non_receptor_type_1,enzymes,PTPN6
tyrosine_protein_phosphatase_non_receptor_type_11,enzymes,PTPN11
tyrosine_protein_phosphatase_non_receptor_type_2,enzymes,PTPN11
tyrosine_protein_phosphatase_non_receptor_type_22,enzymes,PTPN11
tyrosyl_dna_phosphodiesterase_2,enzymes,TDP1
udp_glucuronosyltransferase_2b7,enzymes,UGT2B7
urokinase_type_plasminogen_activator,enzymes,PLAUR
vitamin_k_dependent_protein_c,enzymes,GC
xanthine_dehydrogenase_oxidase,enzymes,XDH
bromodomain_containing_protein_2,epigenetics,BRD4
bromodomain_containing_protein_3,epigenetics,BRD4
bromodomain_containing_protein_4,epigenetics,BRD4
bromodomain_containing_protein_9,epigenetics,BRD4
creb_binding_protein,epigenetics,CREB1
histone_arginine_methyltransferase_carm1,epigenetics,CARM1
histone_deacetylase_1,epigenetics,HDAC3
histone_deacetylase_10,epigenetics,HDAC3
histone_deacetylase_11,epigenetics,HDAC3
histone_deacetylase_2,epigenetics,HDAC3
histone_deacetylase_3,epigenetics,HDAC3
histone_deacetylase_4,epigenetics,HDAC3
histone_deacetylase_5,epigenetics,HDAC3
histone_deacetylase_6,epigenetics,HDAC3
histone_deacetylase_7,epigenetics,HDAC3
histone_deacetylase_8,epigenetics,HDAC3
histone_deacetylase_9,epigenetics,HDAC3
histone_lysine_n_methyltransferase_ehmt2,epigenetics,EHMT2
histone_lysine_n_methyltransferase_ezh2,epigenetics,EZH2
histone_lysine_n_methyltransferase_h3_lysine_79_specific,epigenetics,HIST3H3
lethal_3_malignant_brain_tumor_like_protein_3,epigenetics,IGFBP3
lysine_specific_demethylase_4a,epigenetics,KDM1A
lysine_specific_demethylase_4b,epigenetics,KDM1A
lysine_specific_demethylase_4c,epigenetics,KDM1A
lysine_specific_demethylase_6b,epigenetics,KDM6B
lysine_specific_histone_demethylase_1a,epigenetics,KDM1A
nad_dependent_protein_deacetylase_sirtuin_1,epigenetics,SIRT2
nad_dependent_protein_deacetylase_sirtuin_2,epigenetics,SIRT2
peregrin,epigenetics,MLLT6
protein_arginine_n_methyltransferase_1,epigenetics,PRMT1
protein_arginine_n_methyltransferase_6,epigenetics,PRMT1
protein_arginine_n_methyltransferase_8,epigenetics,PRMT1
s_methyl_5_thioadenosine_phosphorylase,epigenetics,MTAP
transcription_intermediary_factor_1_alpha,epigenetics,HIF1A
5_hydroxytryptamine_receptor_1a,gpcrs,HTR1A
5_hydroxytryptamine_receptor_1b,gpcrs,HTR1B
5_hydroxytryptamine_receptor_1d,gpcrs,HTR1B
5_hydroxytryptamine_receptor_1f,gpcrs,HTR1F
5_hydroxytryptamine_receptor_2a,gpcrs,HTR2A
5_hydroxytryptamine_receptor_2b,gpcrs,HTR2B
5_hydroxytryptamine_receptor_2c,gpcrs,HTR2C
5_hydroxytryptamine_receptor_4,gpcrs,HTR3E
5_hydroxytryptamine_receptor_5a,gpcrs,HTR5A
5_hydroxytryptamine_receptor_6,gpcrs,HTR3E
5_hydroxytryptamine_receptor_7,gpcrs,HTR3E
alpha_1a_adrenergic_receptor,gpcrs,ADRA2B
alpha_1b_adrenergic_receptor,gpcrs,ADRB1
alpha_1d_adrenergic_receptor,gpcrs,ADRA2A
alpha_2a_adrenergic_receptor,gpcrs,ADRA2A
alpha_2b_adrenergic_receptor,gpcrs,ADRA2B
alpha_2c_adrenergic_receptor,gpcrs,ADRA2B
apelin_receptor,gpcrs,APLN
b1_bradykinin_receptor,gpcrs,BDKRB2
b2_bradykinin_receptor,gpcrs,BDKRB2
beta_1_adrenergic_receptor,gpcrs,ADRB1
beta_2_adrenergic_receptor,gpcrs,ADRB1
beta_3_adrenergic_receptor,gpcrs,ADRB1
bombesin_receptor_subtype_3,gpcrs,NMBR
c3a_anaphylatoxin_chemotactic_receptor,gpcrs,C3AR1
c5a_anaphylatoxin_chemotactic_receptor_1,gpcrs,C5AR1
calcitonin_gene_related_peptide_type_1_receptor,gpcrs,CALCA
cannabinoid_receptor_1,gpcrs,GPR55
cannabinoid_receptor_2,gpcrs,GPR55
c_c_chemokine_receptor_like_2,gpcrs,CCL15
c_c_chemokine_receptor_type_1,gpcrs,CCR5
c_c_chemokine_receptor_type_2,gpcrs,CCL15
c_c_chemokine_receptor_type_3,gpcrs,CCR5
c_c_chemokine_receptor_type_5,gpcrs,CCR5
c_c_chemokine_receptor_type_8,gpcrs,CXCR1
c_c_chemokine_receptor_type_9,gpcrs,CCL15
cholecystokinin_receptor_type_a,gpcrs,CCKAR
corticotropin_releasing_factor_receptor_1,gpcrs,CRH
cx3c_chemokine_receptor_1,gpcrs,CX3CL1
c_x_c_chemokine_receptor_type_1,gpcrs,CCL15
c_x_c_chemokine_receptor_type_2,gpcrs,CCL15
c_x_c_chemokine_receptor_type_3,gpcrs,CCL15
c_x_c_chemokine_receptor_type_4,gpcrs,CCL15
cysteinyl_leukotriene_receptor_1,gpcrs,CYSLTR1
cysteinyl_leukotriene_receptor_2,gpcrs,CYSLTR1
d1a_dopamine_receptor,gpcrs,DRD1
d1b_dopamine_receptor,gpcrs,DRD1
d2_dopamine_receptor,gpcrs,DRD2
d3_dopamine_receptor,gpcrs,DRD1
d4_dopamine_receptor,gpcrs,DRD4
delta_type_opioid_receptor,gpcrs,OPRM1
endothelin_1_receptor,gpcrs,EDN1
endothelin_b_receptor,gpcrs,EDN1
extracellular_calcium_sensing_receptor,gpcrs,CASR
free_fatty_acid_receptor_1,gpcrs,FFAR1
glucagon_receptor,gpcrs,GLP1R
glucose_dependent_insulinotropic_receptor,gpcrs,GIP
glutamate_receptor_ionotropic_kainate_1,gpcrs,GRIK2
glutamate_receptor_ionotropic_kainate_2,gpcrs,GRIK2
glutamate_receptor_ionotropic_kainate_5,gpcrs,GRIK2
glutamate_receptor_ionotropic_nmda_1,gpcrs,GRIN1
glutamate_receptor_ionotropic_nmda_2b,gpcrs,GRIN1
glutaminase_kidney_isoform_mitochondrial,gpcrs,GLS
g_protein_coupled_bile_acid_receptor_1,gpcrs,GPBAR1
g_protein_coupled_receptor_35,gpcrs,GPR32P1
g_protein_coupled_receptor_4,gpcrs,TAAR3P
g_protein_coupled_receptor_55,gpcrs,GRK2
growth_hormone_secretagogue_receptor_type_1,gpcrs,GHSR
histamine_h1_receptor,gpcrs,HRH1
histamine_h2_receptor,gpcrs,HRH2
histamine_h3_receptor,gpcrs,HRH4
histamine_h4_receptor,gpcrs,HRH4
hydroxycarboxylic_acid_receptor_2,gpcrs,HCAR3
kappa_type_opioid_receptor,gpcrs,OPRM1
kiss_1_receptor,gpcrs,KISS1
leukotriene_b4_receptor_1,gpcrs,LTB4R
lysophosphatidic_acid_receptor_1,gpcrs,LPAR1
lysophosphatidic_acid_receptor_2,gpcrs,LPAR1
lysophosphatidic_acid_receptor_3,gpcrs,LPAR1
mast_stem_cell_growth_factor_receptor_kit,gpcrs,KIT
melanin_concentrating_hormone_receptor_1,gpcrs,PMCH
melanocortin_receptor_3,gpcrs,MC3R
melanocortin_receptor_4,gpcrs,MC3R
melanocortin_receptor_5,gpcrs,MC3R
melanocyte_stimulating_hormone_receptor,gpcrs,POMC
melatonin_receptor_type_1a,gpcrs,MTNR1A
melatonin_receptor_type_1b,gpcrs,MTNR1A
metabotropic_glutamate_receptor_1,gpcrs,GRM1
metabotropic_glutamate_receptor_2,gpcrs,GRM1
metabotropic_glutamate_receptor_3,gpcrs,GRM3
metabotropic_glutamate_receptor_4,gpcrs,GRM1
metabotropic_glutamate_receptor_5,gpcrs,GRM1
muscarinic_acetylcholine_receptor_m1,gpcrs,CHRM1
muscarinic_acetylcholine_receptor_m2,gpcrs,CHRM1
muscarinic_acetylcholine_receptor_m3,gpcrs,CHRM3
muscarinic_acetylcholine_receptor_m4,gpcrs,CHRM1
muscarinic_acetylcholine_receptor_m5,gpcrs,CHRM1
mu_type_opioid_receptor,gpcrs,OPRM1
neuromedin_k_receptor,gpcrs,NMU
neuropeptide_ff_receptor_1,gpcrs,NPFF
neuropeptide_y_receptor_type_1,gpcrs,NPY6R
neuropeptide_y_receptor_type_2,gpcrs,NPY6R
neuropeptide_y_receptor_type_4,gpcrs,NPY6R
neuropeptide_y_receptor_type_5,gpcrs,NPY2R
neurotensin_receptor_type_1,gpcrs,NTSR1
neurotensin_receptor_type_2,gpcrs,NTSR1
nociceptin_receptor,gpcrs,PNOC
orexin_receptor_type_1,gpcrs,HCRT
orexin_receptor_type_2,gpcrs,HCRT
oxytocin_receptor,gpcrs,OXTR
p2y_purinoceptor_1,gpcrs,P2RY2
p2y_purinoceptor_12,gpcrs,P2RY1
platelet_activating_factor_receptor,gpcrs,PTAFR
probable_g_protein_coupled_receptor_142,gpcrs,GPER1
probable_g_protein_coupled_receptor_88,gpcrs,GPER1
prolactin_releasing_peptide_receptor,gpcrs,PRLH
prostacyclin_receptor,gpcrs,PTGIR
prostaglandin_d2_receptor,gpcrs,PTGDS
prostaglandin_d2_receptor_2,gpcrs,PTGDS
prostaglandin_e2_receptor_ep1_subtype,gpcrs,PTGER4
prostaglandin_e2_receptor_ep2_subtype,gpcrs,PTGER2
prostaglandin_e2_receptor_ep3_subtype,gpcrs,PTGER3
prostaglandin_e2_receptor_ep4_subtype,gpcrs,PTGER4
proteinase_activated_receptor_1,gpcrs,F2RL1
putative_p2y_purinoceptor_10,gpcrs,P2RY2
smoothened_homolog,gpcrs,SMO
somatostatin_receptor_type_1,gpcrs,SSTR2
